month,currency,rate
2023-02,DKK,0.1174922455
2023-02,EUR,0.8740494712
2023-02,HKD,0.1031768141
2023-02,JPY,0.0062853235
2023-02,SEK,0.0786949234
2023-02,USD,0.8069722402
2023-03,CHF,0.9001710325
2023-03,DKK,0.1193687779
2023-03,EUR,0.8895214375
2023-03,HKD,0.1061537318
2023-03,JPY,0.0062041783
2023-03,SEK,0.0798588096
2023-03,USD,0.8331944676
2023-04,CHF,0.8851907586
2023-04,DKK,0.1184777973
2023-04,EUR,0.8823010411
2023-04,HKD,0.1041948861
2023-04,JPY,0.0061623521
2023-04,SEK,0.0790026703
2023-04,USD,0.8175946366
2023-05,CHF,0.8939746111
2023-05,DKK,0.1181167466
2023-05,EUR,0.8802042074
2023-05,HKD,0.1023227259
2023-05,JPY,0.0059667188
2023-05,SEK,0.0777453839
2023-05,USD,0.8032128514
2023-06,CHF,0.8939746111
2023-06,DKK,0.1168442700
2023-06,EUR,0.8703977718
2023-06,HKD,0.1032897795
2023-06,JPY,0.0058179855
2023-06,SEK,0.0754346924
2023-06,USD,0.8086689309
2023-07,CHF,0.8775008775
2023-07,DKK,0.1155161261
2023-07,EUR,0.8604371020
2023-07,HKD,0.1003431737
2023-07,JPY,0.0055297623
2023-07,SEK,0.0733998826
2023-07,USD,0.7854225573
2023-08,CHF,0.9027715085
2023-08,DKK,0.1165514750
2023-08,EUR,0.8684324794
2023-08,HKD,0.0993769068
2023-08,JPY,0.0055586128
2023-08,SEK,0.0755520969
2023-08,USD,0.7760360081
2023-09,CHF,0.8986340762
2023-09,DKK,0.1148435257
2023-09,EUR,0.8559445348
2023-09,HKD,0.1009866395
2023-09,JPY,0.0054443546
2023-09,SEK,0.0718881421
2023-09,USD,0.7917029531
2023-10,CHF,0.9010632546
2023-10,DKK,0.1161156977
2023-10,EUR,0.8654262224
2023-10,HKD,0.1033602414
2023-10,JPY,0.0054674148
2023-10,SEK,0.0727844416
2023-10,USD,0.8086035417
2023-11,CHF,0.9127418766
2023-11,DKK,0.1161305307
2023-11,EUR,0.8664760419
2023-11,HKD,0.1048360888
2023-11,JPY,0.0054815636
2023-11,SEK,0.0749125396
2023-11,USD,0.8204791598
2023-12,CHF,0.9024456277
2023-12,DKK,0.1166493637
2023-12,EUR,0.8695652174
2023-12,HKD,0.1023248199
2023-12,JPY,0.0053615681
2023-12,SEK,0.0762636893
2023-12,USD,0.7977026165
2024-01,CHF,0.9150805271
2024-01,DKK,0.1159460619
2024-01,EUR,0.8645283998
2024-01,HKD,0.1012658228
2024-01,JPY,0.0055127794
2024-01,SEK,0.0777200059
2024-01,USD,0.7904513477
2024-02,CHF,0.9120758847
2024-02,DKK,0.1149425287
2024-02,EUR,0.8572653236
2024-02,HKD,0.1007120341
2024-02,JPY,0.0053358519
2024-02,SEK,0.0752978028
2024-02,USD,0.7880220646
2024-03,CHF,0.9005763689
2024-03,DKK,0.1148382503
2024-03,EUR,0.8560178052
2024-03,HKD,0.1013510089
2024-03,JPY,0.0052822881
2024-03,SEK,0.0763650248
2024-03,USD,0.7927699382
2024-04,CHF,0.8845643521
2024-04,DKK,0.1145422890
2024-04,EUR,0.8541898010
2024-04,HKD,0.1006988500
2024-04,JPY,0.0051924693
2024-04,SEK,0.0751218853
2024-04,USD,0.7878358150
2024-05,CHF,0.8811349018
2024-05,DKK,0.1144204034
2024-05,EUR,0.8536793580
2024-05,HKD,0.1025010250
2024-05,JPY,0.0051910649
2024-05,SEK,0.0731882255
2024-05,USD,0.8027614996
2024-06,CHF,0.8599191676
2024-06,DKK,0.1141695875
2024-06,EUR,0.8518613170
2024-06,HKD,0.1007993388
2024-06,JPY,0.0050248580
2024-06,SEK,0.0732048344
2024-06,USD,0.7868439688
2024-07,CHF,0.8882572393
2024-07,DKK,0.1131887536
2024-07,EUR,0.8443093549
2024-07,HKD,0.1006167809
2024-07,JPY,0.0049740578
2024-07,SEK,0.0753426206
2024-07,USD,0.7854225573
2024-08,CHF,0.8655760409
2024-08,DKK,0.1124783479
2024-08,EUR,0.8390669575
2024-08,HKD,0.0982752690
2024-08,JPY,0.0049026649
2024-08,SEK,0.0729250986
2024-08,USD,0.7672830507
2024-09,CHF,0.8972633468
2024-09,DKK,0.1143066161
2024-09,EUR,0.8529512112
2024-09,HKD,0.0984484524
2024-09,JPY,0.0052527409
2024-09,SEK,0.0749406096
2024-09,USD,0.7673419276
2024-10,CHF,0.8970218873
2024-10,DKK,0.1128477120
2024-10,EUR,0.8420343550
2024-10,HKD,0.0971298140
2024-10,JPY,0.0053358917
2024-10,SEK,0.0743610527
2024-10,USD,0.7569449701
2024-11,CHF,0.8896797153
2024-11,DKK,0.1114355123
2024-11,EUR,0.8311861026
2024-11,HKD,0.0993640700
2024-11,JPY,0.0050450676
2024-11,SEK,0.0728326815
